	Query	Answer	MouseClass	MouseConfidence
0	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Заявление на получение патента нужно подавать по форме 26.5-1, утвержденной приказом ФНС от 09.12.2020 № КЧ-7-3/891. В заявлении можно указать любую дату начала патента.                                                                                                                                                                                                                                                                                                                                           	0	0.99444383
1	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Акт сверки – это документ, в котором стороны фиксируют состояние расчетов между контрагентами на определенную дату. Акт сверки необходим, чтобы проверить, все ли операции отражены в бухучете, помогает вовремя выявить и исправить ошибки. Также подписанный акт сверки означает признание суммы задолженности или факт ее отсутствия. В рекомендации – когда и по какой форме составлять акт сверки, что в нем проверить и как учесть разногласия.                                                               	0	0.99394375
2	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Эксперты Системы Главбух подготовили инструкцию со списком дел, которые бухгалтеру надо сделать в конце года. В инструкции – дела для подготовки к изменениям с 2023 года и ежегодные дела, которые важно успеть сделать до конца года. Образцы документов и дедлайнеры со списками дел помогут все учесть.                                                                                                                                                                                                         	0	0.9948515
3	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Официальные курсы валют на заданную дату устанавливает Центробанк России. Узнать курс основных валют на конкретную дату или пересчитать сумму по выбранному курсу, можно в сервисе «Курсы валют». Все данные в этот сервис загружаются с сайта Банка России.                                                                                                                                                                                                                                                        	0	0.9945728
4	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Минтранс утвердил новый порядок оформления путевых листов (приказ Минтранса от 28.09.2022 № 390). Новые правила действуют с 1 марта 2023 года до 1 марта 2029 года. Как по-новому заполнить путевой лист – в рекомендации. Ниже – что изменилось в правилах заполнения и как это повлияет на работу.                                                                                                                                                                                                                	0	0.9949587
5	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В бухгалтерской отчетности надо отразить переход на ФСБУ. Если компания переходит сразу на несколько ФСБУ, то применяйте единый подход перехода для соблюдения требования по единообразному учету и представлению показателей в отчетности. В рекомендации — советы, примеры с образцами заполнения форм с учетом перехода на ФСБУ и таблицы раскрытия информации о новых стандартах.                                                                                                                               	0	0.98734015
6	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Можно не сдавать персонифицированные сведения за март, июнь, сентябрь и декабрь. ФНС согласовала с Минфином позицию — персонифицированные сведения достаточно представлять только за первые два месяца каждого квартала. Обязанность по сдаче перссведений за последний месяц квартала считается выполненной, если в срок представили РСВ, в том числе разделы 3 на сотрудников. Об этом говорится в письме ФНС от 28.03.2023 № БС-4-11/3700@. ФНС разослала его по региональным инспекциям.                        	0	0.9948801
7	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Определить нужный КБК на 2023 год можно в сервисе «Узнайте верный КБК» или по Справочнику                                                                                                                                                                                                                                                                                                                                                                                                                           	0	0.99465925
8	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Для большинства налогов и страховых взносов установлен единый срок подачи уведомления — 25-е число месяца, в котором установлен срок уплаты. Для платежек, которые можно подавать в 2023 году вместо уведомлений, срок подачи такой же. Если 25-е число выпадает на день, который по российскому законодательству или по Указу Президента – выходной или нерабочий день, подать уведомление нужно в ближайший рабочий день (п. 7 ст. 6.1 НК). Все сроки подачи уведомлений – в справочнике.                         	0	0.97703594
9	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В 2023 году нужно применять новые КБК по взносам. Минфин изменил перечень кодов приказом от 22.11.2022 № 177н. Взносы по НК. В уведомлении за периоды начиная с 1 января 2023 года и РСВ за I квартал 2023 года укажите КБК 182 1 02 01000 01 1000 160. Он предназначен для взносов по единому тарифу, в который входят пенсионные, медицинские, социальные на случай ВНиМ взносы. Перечисляйте взносы в 2023 году в составе единого платежа на КБК 182 01 06 12 01 01 0000 510.                                    	0	0.99496293
10	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Срок сдачи РСВ за I квартал: 25 апреля 2023 года.Куда сдавать: в ИФНС.Форма: РСВ за I квартал 2023 года сдавайте по новой форме из приказа ФНС от 29.09.2022 № ЕД-7-11/878@.Скачать новый бланк >>.Образцы заполнения для разных случаев можно скачать ниже.Кто сдает: все страхователи.                                                                                                                                                                                                                            	0	0.99461335
