FastAnswerID	Paragraph	TrueParagraph	Module	ParentId
5080	Работодатель назначает и выплачивает больничное пособие только за первые три дня болезни самого сотрудника. Назначайте пособие в течение 10 календарных дней после того, как сотрудник представил верно оформленный больничный листок (ч. 1 ст. 15 Закона от 29.12.2006 № 255-ФЗ, ст. 6 Закона от 29.12.2020 N 478-ФЗ). Срок выплаты пособия по больничному листу работодателем за первые три дня болезни – ближайший день после назначения пособия, который установлен для выплаты зарплаты.	Работодатель назначает и выплачивает больничное пособие только за первые три дня болезни самого сотрудника. Назначайте пособие в течение 10 календарных дней после того, как сотрудник представил верно оформленный больничный листок (ч. 1 ст. 15 Закона от 29.12.2006 № 255-ФЗ, ст. 6 Закона от 29.12.2020 N 478-ФЗ). Срок выплаты пособия по больничному листу работодателем за первые три дня болезни – ближайший день после назначения пособия, который установлен для выплаты зарплаты.	86	280155
5080	Начиная с четвертого дня болезни сотрудника и за оставшиеся дни болезни больничное пособие оплачивает территориальный орган ФСС. Выплатить пособие ФСС должен в течении 10 календарных дней со дня получения документов либо реестра сведений, которые необходимы для назначения и выплаты пособия (п. 11 Положения, утв. постановлением Правительства от 30.12.2020 № 2375).	Работодатель назначает и выплачивает больничное пособие только за первые три дня болезни самого сотрудника. Назначайте пособие в течение 10 календарных дней после того, как сотрудник представил верно оформленный больничный листок (ч. 1 ст. 15 Закона от 29.12.2006 № 255-ФЗ, ст. 6 Закона от 29.12.2020 N 478-ФЗ). Срок выплаты пособия по больничному листу работодателем за первые три дня болезни – ближайший день после назначения пособия, который установлен для выплаты зарплаты.	86	280155
5080	Больничное пособие по уходу за заболевшим ребенком или родственником, пособие по беременности и родам назначает и выплачивает за все дни территориальный орган ФСС в полном объеме. Основание – закон от 29.12.2020 № 478-ФЗ, постановление Правительства от 30.12.2020 № 2375.	Работодатель назначает и выплачивает больничное пособие только за первые три дня болезни самого сотрудника. Назначайте пособие в течение 10 календарных дней после того, как сотрудник представил верно оформленный больничный листок (ч. 1 ст. 15 Закона от 29.12.2006 № 255-ФЗ, ст. 6 Закона от 29.12.2020 N 478-ФЗ). Срок выплаты пособия по больничному листу работодателем за первые три дня болезни – ближайший день после назначения пособия, который установлен для выплаты зарплаты.	86	280155
9259	Пособие рассчитывайте исходя из заработка сотрудника за расчетный период. Сумма годового заработка для расчета пособия не должна превышать предельную величину базы для начисления взносов на обязательное социальное страхование. То есть если годовой заработок сотрудника больше предельной величины базы, рассчитывайте пособие исходя из предельной величины базы за соответствующий год.	В 2020 году предельная величина базы, на которую начисляли взносы, составляла 912 000 руб. В 2019 году лимит – 865 000 руб. Максимальный средний дневной заработок при расчете больничного пособия в 2021 году не должен превышать 2434,25 руб. ((912 000 руб. + 865 000 руб.) : 730 дн.). Такой порядок установлен частью 3.2 статьи 14 Закона от 29.12.2006 № 255-ФЗ, пунктом 19.1 положения, утвержденного постановлением Правительства от 15.06.2007 № 375.	86	283079
9259	В 2020 году предельная величина базы, на которую начисляли взносы, составляла 912 000 руб. В 2019 году лимит – 865 000 руб. Максимальный средний дневной заработок при расчете больничного пособия в 2021 году не должен превышать 2434,25 руб. ((912 000 руб. + 865 000 руб.) : 730 дн.). Такой порядок установлен частью 3.2 статьи 14 Закона от 29.12.2006 № 255-ФЗ, пунктом 19.1 положения, утвержденного постановлением Правительства от 15.06.2007 № 375.	В 2020 году предельная величина базы, на которую начисляли взносы, составляла 912 000 руб. В 2019 году лимит – 865 000 руб. Максимальный средний дневной заработок при расчете больничного пособия в 2021 году не должен превышать 2434,25 руб. ((912 000 руб. + 865 000 руб.) : 730 дн.). Такой порядок установлен частью 3.2 статьи 14 Закона от 29.12.2006 № 255-ФЗ, пунктом 19.1 положения, утвержденного постановлением Правительства от 15.06.2007 № 375.	86	283079
9259	Если сотрудник в течение года работает в одной организации, но в разных ее обособленных подразделениях, при расчете базы для начисления пособия учитывайте все выплаты в его пользу в целом по организации. Когда выплаты за год превышают предельную величину базы для начисления страховых взносов, рассчитывайте пособие исходя из предельной величины базы (письмо Минтруда от 26.02.2013 № 17-3/326).	В 2020 году предельная величина базы, на которую начисляли взносы, составляла 912 000 руб. В 2019 году лимит – 865 000 руб. Максимальный средний дневной заработок при расчете больничного пособия в 2021 году не должен превышать 2434,25 руб. ((912 000 руб. + 865 000 руб.) : 730 дн.). Такой порядок установлен частью 3.2 статьи 14 Закона от 29.12.2006 № 255-ФЗ, пунктом 19.1 положения, утвержденного постановлением Правительства от 15.06.2007 № 375.	86	283079
9259	Исключением является ситуация, когда в расчетном периоде сотрудник трудился у нескольких работодателей и у каждого из них получает пособие. Каждая организация или предприниматель-работодатель рассчитывает пособие исходя из заработка, который не превышает 912 000 руб. за 2020 год и 865 000 руб. за 2019 год. В 2021 году от нескольких работодателей сотрудник суммированно может получить пособие, которое рассчитано с заработка больше 912 000 руб. за 2020 год и 865 000 руб. за 2019 год. Это установлено частью 2 статьи 13 и частью 3.2 статьи 14 Закона от 29.12.2006 № 255-ФЗ.	В 2020 году предельная величина базы, на которую начисляли взносы, составляла 912 000 руб. В 2019 году лимит – 865 000 руб. Максимальный средний дневной заработок при расчете больничного пособия в 2021 году не должен превышать 2434,25 руб. ((912 000 руб. + 865 000 руб.) : 730 дн.). Такой порядок установлен частью 3.2 статьи 14 Закона от 29.12.2006 № 255-ФЗ, пунктом 19.1 положения, утвержденного постановлением Правительства от 15.06.2007 № 375.	86	283079
9259	Изложенный порядок не распространяется на больничное пособие в связи с несчастным случаем. Кроме того, учтите, что если стаж сотрудника меньше шести месяцев, определять средний дневной заработок и сравнивать его с лимитами вообще не требуется. Пособие в этом случае определяют из расчета один МРОТ за календарный месяц.	В 2020 году предельная величина базы, на которую начисляли взносы, составляла 912 000 руб. В 2019 году лимит – 865 000 руб. Максимальный средний дневной заработок при расчете больничного пособия в 2021 году не должен превышать 2434,25 руб. ((912 000 руб. + 865 000 руб.) : 730 дн.). Такой порядок установлен частью 3.2 статьи 14 Закона от 29.12.2006 № 255-ФЗ, пунктом 19.1 положения, утвержденного постановлением Правительства от 15.06.2007 № 375.	86	283079
13322	Заявление на выплату пособия по временной нетрудоспособности оформлять не нужно.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574
13322	Заявление на выплату больничных оформляли до 31 декабря 2020 года включительно на основании пункта 2 Положения, утв. постановлением Правительства РФ от 21.04.2011 № 294. Этот документ определял до окончания 2020 года правила для пособий при прямых выплатах.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574
13322	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574
