query	answer	mod	id	host
штраф за непробитый чек	Когда кассир не пробил чек в момент расчета, сведения о выручке не попадут в ФНС. За это нарушение предусмотрен штраф до 100 процентов от суммы расчета, но не менее 30 000 руб. (п. 2 ст. 14.5 КоАП).	86	277941	vip.1gl.ru
госпошлина за выдачу судебного приказа	50% размера госпошлины, взимаемой при подаче искового заявления имущественного характера	16	88397	vip.1gl.ru
ндс с авансов предлагают отменить	НДС с авансов могут отменить. Петиция с таким предложением опубликована на сайте Российской общественной инициативы (РОИ). Авторы инициативы считают, что отмена НДС с авансов не приведет к потерям бюджета, но будет кассовый разрыв. То есть отмена НДС с аванса всего лишь отодвинет срок возникновения обязанности исчисления НДС до момента реализации. 	86	484120	vip.1gl.ru
прием на работу гражданина киргизии	При приеме на работу гражданин Киргизии должен принести общий пакет документов (ч. 1 ст. 65 ТК, п. 4 ст. 97 Договора о Евразийском экономическом союзе от 29.05.2014). Также такие граждане должны предъявить действующий на территории России полис ДМС. При этом предъявлять такой полис не нужно, если работодатель заключает с медицинской организацией договор о предоставлении платных медицинских услуг сотруднику-иностранцу (ч. 1 ст. 327.3 ТК, п. 3 ст. 98 Договора о Евразийском экономическом союзе от 29.05.2014).	12	403383	vip.1gl.ru
обязательные реквизиты первичных документов	При этом первичный документ должен содержать обязательные реквизиты (ч. 2 ст. 9 Закона от 06.12.2011 № 402-ФЗ, п. 4, 8 ФСБУ 27/2021): наименование документа; дата составления документа; наименование экономического субъекта (организации), составившего документ; содержание факта хозяйственной жизни; величина натурального и (или) денежного измерения факта хозяйственной жизни с указанием единиц измерения; наименование должностей лиц, совершивших сделку, операцию, и ответственных за ее оформление, либо наименование должностей лиц, ответственных за оформление свершившегося события; подписи указанных лиц с расшифровкой и иную информацию, необходимую для идентификации этих лиц.	86	485001	vip.1gl.ru
восстановление работника по решению суда	Сотрудника могут восстановить на работе, если работодатель нарушил процедуру оформления увольнения по сокращению штата или численности (ст. 180 ТК).	12	409779	vip.1gl.ru
срок на возврат госпошлины из бюджета	Документы на возврат госпошлины можно подать в течение трех лет с момента ее уплаты (абз. 7 п. 3 ст. 333.40 НК).	86	175438	vip.1gl.ru
документы на возврат госпошлины	К заявлению приложите оригиналы платежных документов (квитанции банка либо местных администраций и т. д.) – если платили наличными, копии – при безналичных перечислениях. Дополнительные документы не нужны, если в информационной системе государственных и муниципальных платежей есть информация о платеже.	86	175438	vip.1gl.ru
восстановление срока на зачет госпошлины	Госпошлину можно зачесть в течение трех лет со дня уплаты госпошлины или принятия судом решения о возврате госпошлины (п. 6 ст. 333.40 НК). Если срок истек, организация теряет право на зачет госпошлины. Срок можно восстановить, если суд признает, что организация пропустила его по уважительной причине (ст. 112 ГПК, ст. 117 АПК).	86	380189	vip.1gl.ru
когда решат о зачете госпошлины	Срок принятия решения о зачете – 10 дней со дня получения заявления (п. 5 ст. 78, п. 7 ст. 333.40 НК). В случае отказа в возврате госпошлины вам обязаны сообщить в письменной форме в течение пяти дней (п. 9 ст. 78, п. 7 ст. 333.40 НК). 	86	380189	vip.1gl.ru
