	Queries	FastAnswerID	Paragraph	TrueParagraph	Module	ParentId	MouseClass	MouseConfidence	ExpertEvaluetion
0	приказ на сотрудницу в декретный отпуск	15105	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	1	0.950879633426666	1
1	приказ на сотрудницу в декретный отпуск	15105	Ознакомьте с приказом саму декретницу, а также ее непосредственного руководителя, начальника отдела кадров и главного бухгалтера. Они будут знать, какие коды ставить в табеле, какие выплаты оформить работнице, а также как решить вопрос с замещением сотрудницы на время декрета.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	0	0.954237699508667	0
2	приказ на сотрудницу в декретный отпуск	15105	Точного срока оформления приказа на отпуск по беременности и родам в законе нет. Дата оформления зависит от того, когда сотрудница подаст заявление на отпуск по беременности и родам. На день начала отпуска приказ должен быть оформлен.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	1	0.882948815822601	0
3	приказ на сотрудницу в декретный отпуск	15105	Приказ зарегистрируйте в журнале регистрации кадровых приказов. Подробнее в Какие документы относятся к документам по личному составу.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	0	0.994701683521271	0
4	приказ на выход из декретного отпуска	15105	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	1	0.798385322093964	1
5	приказ на выход из декретного отпуска	15105	Ознакомьте с приказом саму декретницу, а также ее непосредственного руководителя, начальника отдела кадров и главного бухгалтера. Они будут знать, какие коды ставить в табеле, какие выплаты оформить работнице, а также как решить вопрос с замещением сотрудницы на время декрета.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	0	0.994628012180328	0
6	приказ на выход из декретного отпуска	15105	Точного срока оформления приказа на отпуск по беременности и родам в законе нет. Дата оформления зависит от того, когда сотрудница подаст заявление на отпуск по беременности и родам. На день начала отпуска приказ должен быть оформлен.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	1	0.808995306491852	0
7	приказ на выход из декретного отпуска	15105	Приказ зарегистрируйте в журнале регистрации кадровых приказов. Подробнее в Какие документы относятся к документам по личному составу.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	0	0.993734538555145	0
8	приказ о отпуске по беременности и родам	15105	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	1	0.966941714286804	1
9	приказ о отпуске по беременности и родам	15105	Ознакомьте с приказом саму декретницу, а также ее непосредственного руководителя, начальника отдела кадров и главного бухгалтера. Они будут знать, какие коды ставить в табеле, какие выплаты оформить работнице, а также как решить вопрос с замещением сотрудницы на время декрета.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	0	0.994918763637543	0
